timestamp,x_coord,y_coord,confidence
1510881566902,252.073,390.715,0.580211
1510881566932,240.526,388.643,0.62153
1510881567007,180.135,377.949,0.711315
1510881567039,122.205,371.367,1.14554
1510881567103,76.091,354.739,1.23157
1510881567134,52.8465,324.458,2.64448
1510881567199,258.105,369.943,0.459758
1510881567231,223.343,376.194,0.589646
1510881567296,268.376,390.206,0.478829
1510881567500,423.973,433.862,1.71899
1510881567532,482.187,442.205,1.22878
1510881567599,467.65,441.514,1.04852
1510881567631,524.191,445.53,1.02572
1510881567707,302.06,417.931,1.78061
1510881567738,323.203,421.334,1.69295
1510881567803,279.899,408.844,0.520774
1510881567835,255.214,402.445,0.520154
1510881567901,280.842,399.841,1.02745
1510881567932,194.132,388.68,0.828144
1510881568007,114.237,362.566,0.824883
1510881568039,124.734,369.703,0.55578
1510881568103,77.9019,372.708,1.12765
1510881568135,238.264,389.893,1.16144
1510881568201,323.548,389.412,0.947107
1510881568234,397.391,390.744,1.0512
1510881568298,481.013,402.115,1.06022
1510881568341,504.319,414.082,1.59531
1510881568404,553.997,419.509,1.32665
1510881568436,496.406,382.001,1.11595
1510881568500,541.348,405.984,1.43013
1510881568531,472.556,404.704,0.623935
1510881568596,478.85,406.826,0.467013
1510881568639,509.837,412.618,0.437541
1510881568704,406.336,398.227,0.836747
1510881568734,310.608,391.882,0.483054
1510881568801,192.921,381.445,0.671632
1510881568833,144.158,366.832,1.58006
1510881568900,319.858,394.019,0.558124
1510881568932,265.877,378.848,2.14565
1510881568999,370.024,393.453,1.12414
1510881569031,261.391,379.758,1.14652
1510881569096,162.926,367.489,0.798906
1510881569139,150.218,369.404,0.887057
1510881569204,130.362,365.046,0.655012
1510881569236,111.433,357.833,0.966436
1510881569303,187.43,352.512,1.4077
1510881569336,266.482,366.151,1.20302
1510881569403,177.052,366.411,0.430409
1510881569435,271.669,387.651,0.418314
1510881569502,210.517,383.552,0.394678
1510881569534,190.862,381.726,0.408007
1510881569599,302.898,393.523,0.580441
1510881569631,343.514,398.424,0.398397
1510881569705,295.899,377.153,0.743177
1510881569737,401.456,388.382,0.654945
1510881569804,521.509,391.095,1.12688
1510881569836,422.425,389.132,0.531217
1510881569899,265.93,355.288,1.51663
1510881569932,235.055,351.916,1.57794
1510881570004,330.77,378.132,0.454837
1510881570036,357.501,390.362,1.38314
1510881570102,256.511,380.24,1.18384
1510881570134,262.345,385.902,4.80884
1510881570199,164.472,358.82,3.50203
1510881570239,139.753,362.072,3.4428
1510881570304,232.264,379.342,1.39908
1510881570336,654.151,342.959,6.59752
1510881570402,627.701,360.935,1.5054
1510881570596,158.381,339.213,0.984818
1510881570640,135.89,351.352,0.696815
1510881570703,77.9809,351.029,1.17772
1510881570834,154.034,370.374,0.564448
1510881570901,178.068,374.17,0.326858
1510881570932,325.732,367.408,1.50223
1510881571136,327.769,396.499,1.12846
1510881571232,369.629,400.553,1.13317
1510881571297,196.904,367.622,1.64709
1510881571330,225.045,374.448,0.557299
1510881571600,148.701,369.429,1.01191
1510881571633,77.6441,365.955,0.979829
1510881571706,640.942,310.379,4.07233
1510881571737,449.185,335.005,0.703411
1510881571803,345.014,350.049,0.582098
1510881571835,235.782,348.408,0.554828
1510881571902,477.518,363.958,2.06623
1510881571934,329.525,356.52,0.465239
1510881716376,328.028,454.886,0.685864
1510881716385,163.917,442.381,0.685648
1510881716483,269.93,448.158,0.663998
1510881716547,320.872,442.124,0.640286
1510881716579,285.266,436.581,0.671055
1510881716654,300.051,443.517,0.658828
1510881716710,183.836,437.21,0.869393
1510881716742,126.43,427.85,0.393192
1510881716784,106.622,422.626,0.446812
1510881716848,67.2842,426.116,1.06084
1510881716880,104.978,425.09,1.01609
1510881716945,87.6492,420.206,0.490125
1510881717021,49.6765,416.669,0.422287
1510881717041,44.554,415.05,0.429829
1510881717085,62.0376,414.795,0.471876
1510881717149,132.761,417.54,0.55961
1510881717181,135.588,418.266,0.512977
1510881717247,174.753,418.789,0.513428
1510881717280,197.363,420.353,0.525738
1510881717345,137.311,416.797,0.491591
1510881717410,141.787,417.323,0.525867
1510881717442,133.752,416.974,0.505884
1510881717484,92.8493,416.566,0.798012
1510881717550,58.0732,416.988,0.491539
1510881717582,40.2928,417.729,0.968891
1510881717648,96.897,411.397,0.415984
1510881717680,88.4303,411.955,0.506926
1510881717747,109.107,415.973,0.505932
1510881717812,65.2366,414.463,0.473815
1510881717845,78.3701,418.008,0.492552
1510881717912,99.9019,419.805,0.52797
1510881717943,68.8927,421.594,0.594115
1510881718007,131.419,413.726,0.515268
1510881718050,161.523,421.641,0.605224
1510881718083,183.807,413.625,0.582127
1510881718149,179.722,408.155,0.42266
1510881718180,125.386,412.915,0.550886
1510881718248,77.6829,427.369,1.54988
1510881718279,53.6786,424.8,2.1681
1510881718344,240.097,429.497,0.538416
1510881718411,229.194,415.52,0.553523
1510881718443,318.357,413.508,0.522376
1510881718519,272.995,406.844,0.579103
1510881718551,320.387,409.857,0.555961
1510881718584,362.959,408.678,0.632773
1510881718650,413.891,406.198,0.373499
1510881718681,516.077,411.615,0.388277
1510881718747,610.187,398.083,1.38238
1510881718810,715.478,387.677,1.64936
1510881718842,770.08,391.887,1.37327
1510881718885,795.262,401.08,1.11174
1510881718950,727.365,401.197,1.19316
1510881718981,747.596,397.754,1.79338
